symbol,exchange,item_type,industry_category,last_price,company_name
RDEN,Stocks,N/A,13.99,13.99,"Elizabeth Arden, Inc."
PREM.L,Stocks,N/A,0.53,0.53,Premier African Minerals Limited
PNL.L,Stocks,N/A,40290.00,40290.00,Personal Assets Ord
PETS.L,Stocks,N/A,179.00,179.00,Pets at Home Group Plc
PACC.L,Stocks,N/A,0.00,0.00,Prime Active Capital plc.
NSU.DE,Stocks,N/A,641.00,641.00,AUDI AG
LLY,Stocks,N/A,82.51,82.51,Eli Lilly and Company
TOL.AX,Stocks,N/A,0.00,0.00,Toll Holdings Limited
DNO.OL,Stocks,N/A,7.58,7.58,DNO ASA
CPX.L,Stocks,N/A,7.17,7.17,Cap-XX Limited
BDX,Stocks,N/A,185.40,185.40,"Becton, Dickinson and Company"
BBA.L,Stocks,N/A,313.80,313.80,BBA Aviation plc
BAC.SW,Stocks,N/A,23.15,23.15,Bank of America Corporation
AUTO.L,Stocks,N/A,410.80,410.80,Auto Trader Group plc
ATVI,Stocks,N/A,53.83,53.83,"Activision Blizzard, Inc."
ATK.L,Stocks,N/A,2120.00,2120.00,WS Atkins plc
ASTI,Stocks,N/A,0.00,0.00,"Ascent Solar Technologies, Inc."
APD,Stocks,N/A,147.22,147.22,"Air Products and Chemicals, Inc."
ANZ.AX,Stocks,N/A,30.65,30.65,Australia and New Zealand Banking Group Limited
ANAC,Stocks,N/A,99.20,99.20,"Anacor Pharmaceuticals, Inc."
AKAM,Stocks,N/A,52.13,52.13,"Akamai Technologies, Inc."
AHT.L,Stocks,N/A,1610.00,1610.00,Ashtead Group plc
AGN,Stocks,N/A,244.94,244.94,Allergan plc
AG,Stocks,N/A,7.48,7.48,First Majestic Silver Corp.
AFL,Stocks,N/A,74.35,74.35,Aflac Incorporated
ADM,Stocks,N/A,42.43,42.43,Archer-Daniels-Midland Company
ADI,Stocks,N/A,75.79,75.79,"Analog Devices, Inc."
ACP.L,Stocks,N/A,1.70,1.70,Armadale Capital Plc
ACA.PA,Stocks,N/A,14.48,14.48,Credit Agricole S.A.
AA,Stocks,N/A,31.82,31.82,Alcoa Corporation
A,Stocks,N/A,56.64,56.64,"Agilent Technologies, Inc."
0P6N.L,Stocks,N/A,128.38,128.38,Volkswagen Aktiengesellschaft
YZA.IR,Stocks,N/A,33.05,33.05,ARYZTA AG CHF0.02 (REGD)
WAB,Stocks,N/A,83.00,83.00,Westinghouse Air Brake Technologies Corporation
VIN.L,Stocks,N/A,262.00,262.00,Value And Income Ord
TAL.L,Stocks,N/A,0.00,0.00,Zinc Media Group plc
SIM.CO,Stocks,N/A,443.40,443.40,SimCorp A/S
PANW,Stocks,N/A,116.31,116.31,"Palo Alto Networks, Inc."
PAC.L,Stocks,N/A,250.00,250.00,Pacific Assets Ord
OEX.L,Stocks,N/A,0.36,0.36,Oilex Ltd
NLY,Stocks,N/A,11.54,11.54,"Annaly Capital Management, Inc."
MGAM.L,Stocks,N/A,312.60,312.60,Morgan Advanced Materials plc
LUN.CO,Stocks,N/A,321.40,321.40,H. Lundbeck A/S
KBC.L,Stocks,N/A,209.32,209.32,KBC Advanced Technologies plc
KAY.L,Stocks,N/A,20.25,20.25,Kings Arms Yard VCT Ord
GOOGL,Stocks,N/A,950.28,950.28,Alphabet Inc.
GEN.CO,Stocks,N/A,1367.00,1367.00,Genmab A/S
FOGL.L,Stocks,N/A,0.00,0.00,Falkland Oil and Gas Ltd.
DEX,Stocks,N/A,11.26,11.26,Delaware Enhanced Global Dividend and Income Fund
DANSKE.CO,Stocks,N/A,255.00,255.00,Danske Bank A/S
CTP.AX,Stocks,N/A,0.20,0.20,Central Petroleum Limited
CMIP.L,Stocks,N/A,0.00,0.00,Capital Management and Investment plc
BUD,Stocks,N/A,120.58,120.58,Anheuser-Busch InBev SA/NV
BON.OL,Stocks,N/A,73.75,73.75,Bonheur ASA
BBVA.MC,Stocks,N/A,7.80,7.80,"Banco Bilbao Vizcaya Argentaria, S.A."
BAG.L,Stocks,N/A,642.50,642.50,A.G. BARR p.l.c.
BABA,Stocks,N/A,116.04,116.04,Alibaba Group Holding Limited
AYI,Stocks,N/A,185.20,185.20,"Acuity Brands, Inc."
AXE,Stocks,N/A,80.70,80.70,Anixter International Inc.
AVON.L,Stocks,N/A,1050.00,1050.00,Avon Rubber p.l.c.
AVB,Stocks,N/A,192.75,192.75,"AvalonBay Communities, Inc."
AURR.L,Stocks,N/A,0.00,0.00,Aurora Russia Limited
ATI,Stocks,N/A,16.92,16.92,Allegheny Technologies Incorporated
ASM.V,Stocks,N/A,1.97,1.97,Avino Silver & Gold Mines Ltd.
ASL.L,Stocks,N/A,1274.00,1274.00,Aberforth Smaller Companies Ord
ARO.L,Stocks,N/A,0.45,0.45,Arricano Real Estate Plc
ARG,Stocks,N/A,142.95,142.95,"Airgas, Inc."
APRI,Stocks,N/A,1.15,1.15,"Apricus Biosciences, Inc."
APH.L,Stocks,N/A,48.50,48.50,Alliance Pharma plc
ANR.L,Stocks,N/A,0.55,0.55,Altona Energy Plc
ANH.L,Stocks,N/A,952.50,952.50,Mediclinic International plc
ANF,Stocks,N/A,12.52,12.52,Abercrombie & Fitch Co.
AMT,Stocks,N/A,128.69,128.69,American Tower Corporation
AMAT,Stocks,N/A,41.83,41.83,"Applied Materials, Inc."
AMA.L,Stocks,N/A,0.00,0.00,AMA.L
ALY.L,Stocks,N/A,13.25,13.25,Laura Ashley Holdings plc
ALXN,Stocks,N/A,128.82,128.82,"Alexion Pharmaceuticals, Inc."
ALR,Stocks,N/A,49.16,49.16,Alere Inc.
ALM.L,Stocks,N/A,149.90,149.90,Allied Minds plc
AHS,Stocks,N/A,33.02,33.02,AMN Healthcare Services Inc.
AGR.L,Stocks,N/A,60.90,60.90,Assura Plc
AFPO.L,Stocks,N/A,0.06,0.06,African Potash Limited
ADS.DE,Stocks,N/A,184.15,184.15,Adidas AG
ADP,Stocks,N/A,99.29,99.29,"Automatic Data Processing, Inc."
AC.PA,Stocks,N/A,42.04,42.04,Accor SA
ABY,Stocks,N/A,20.39,20.39,Atlantica Yield plc
ABCW,Stocks,N/A,46.84,46.84,Anchor BanCorp Wisconsin Inc.
AAS.L,Stocks,N/A,1009.00,1009.00,Aberdeen Asian Smaller Ord
AAL,Stocks,N/A,44.51,44.51,American Airlines Group Inc.
YONGA.IS,Stocks,N/A,280.00,280.00,Yonga Mobilya Sanayi ve Ticaret A.S.
WRN,Stocks,N/A,1.05,1.05,Western Copper and Gold Corporation
WFF.SG,Stocks,N/A,6.01,6.01,Westfield Corp. Reg.Units (Stap
WBC.AX,Stocks,N/A,33.86,33.86,Westpac Banking Corporation
UHAL,Stocks,N/A,369.46,369.46,AMERCO
TTR.L,Stocks,N/A,196.25,196.25,32Red Plc
TRW.SG,Stocks,N/A,0.06,0.06,Troy Resources Ltd. Registered
TEAM,Stocks,N/A,36.81,36.81,Atlassian Corporation Plc
SYT,Stocks,N/A,93.50,93.50,Syngenta AG
SUN.AX,Stocks,N/A,14.18,14.18,Suncorp Group Limited
SPSN.SW,Stocks,N/A,87.50,87.50,Swiss Prime Site AG
SGZ.L,Stocks,N/A,0.45,0.45,Scotgold Resources Limited
RZZ.V,Stocks,N/A,8.90,8.90,Abitibi Royalties Inc.
RIV.L,Stocks,N/A,281.50,281.50,River and Mercantile Group PLC
RBI.VI,Stocks,N/A,22.09,22.09,RAIFFEISEN BANK INTERNAT. AG
PNDZY,Stocks,N/A,29.44,29.44,Pandora A/S
PNDORA.CO,Stocks,N/A,747.00,747.00,Pandora A/S
PAHC,Stocks,N/A,30.20,30.20,Phibro Animal Health Corporation
PAC,Stocks,N/A,103.53,103.53,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V."
PAA,Stocks,N/A,28.39,28.39,"Plains All American Pipeline, L.P."
ORLY,Stocks,N/A,252.70,252.70,"O'Reilly Automotive, Inc."
NYO.L,Stocks,N/A,0.04,0.04,Nyota Minerals Limited
NVO,Stocks,N/A,40.90,40.90,Novo Nordisk A/S
NTT,Stocks,N/A,42.84,42.84,Nippon Telegraph and Telephone Corporation
NAB.AX,Stocks,N/A,32.52,32.52,National Australia Bank Limited
MT,Stocks,N/A,7.92,7.92,ArcelorMittal
MKLW.L,Stocks,N/A,475.75,475.75,A&J Mucklow Group plc
R8R.MU,N/A,N/A,N/A,N/A,N/A
LSG.OL,Stocks,N/A,447.20,447.20,Lerøy Seafood Group Asa
LIO.L,Stocks,N/A,433.25,433.25,Liontrust Asset Management Plc
LAS.L,Stocks,N/A,22.00,22.00,London & Associated Properties plc
QED.L,Stocks,N/A,0.00,0.00,Quintain Estates and Development plc
IUA.BE,Stocks,N/A,0.12,0.12,PT ASTRA GRAP. TBK RP 100
ISD.AX,Stocks,N/A,1.74,1.74,iSentia Group Limited
ILU.AX,Stocks,N/A,7.84,7.84,Iluka Resources Limited
IAT.L,Stocks,N/A,261.75,261.75,Invesco Asia Ord
HYI,Stocks,N/A,15.50,15.50,Western Asset High Yield Defined Opportunity Fund Inc.
HUFV-A.ST,Stocks,N/A,142.30,142.30,Hufvudstaden AB (publ)
HSM.L,Stocks,N/A,302.50,302.50,Samuel Heath & Sons PLC
HOFI.ST,Stocks,N/A,83.25,83.25,Hoist Finance AB (publ)
HHV.L,Mutual fund,N/A,81.00,81.00,Hargreave Hale AIM VCT 1 Ord
PRA.DU,Stocks,N/A,0.00,0.00,PRAKTIKER AG O.N.
GWA.F,Stocks,N/A,2.12,2.12,GWA Group Limited
GSC1.DE,Stocks,N/A,24.80,24.80,Gesco AG
PMR.AX,N/A,N/A,N/A,N/A,N/A
GDCWF,Stocks,N/A,12.30,12.30,GOLD CORPORATION ETC PERP(PM GO
GAM,Stocks,N/A,34.27,34.27,"General American Investors Company, Inc."
FTE.L,Stocks,N/A,0.00,0.00,Forte Energy NL
FRTB.SG,Stocks,N/A,3.06,3.06,"Acando AB Namn-Aktier B SK 1,25"
FNMA,Stocks,N/A,2.67,2.67,Federal National Mortgage Association
FAV,Stocks,N/A,8.87,8.87,First Trust Dividend and Income Fund
ELTEL.ST,Stocks,N/A,49.20,49.20,Eltel AB (publ)
CYG.AX,Stocks,N/A,0.66,0.66,Coventry Group Ltd
CXW,Stocks,N/A,33.47,33.47,"CoreCivic, Inc."
OWW1.SG,Stocks,N/A,0.03,0.03,African Metals Corp.
CMB.L,Stocks,N/A,1.15,1.15,Cambria Africa plc
CBA.AX,Stocks,N/A,84.40,84.40,Commonwealth Bank of Australia
CARL-B.CO,Stocks,N/A,699.00,699.00,Carlsberg A/S
CAR,Stocks,N/A,29.62,29.62,"Avis Budget Group, Inc."
CAPA,Stocks,N/A,0.25,0.25,"Capital Art, Inc."
BVC.L,Stocks,N/A,19.00,19.00,BATM Advanced Communications Ltd.
BTA,Stocks,N/A,11.70,11.70,BlackRock Long-Term Municipal Advantage Trust
BRSS,Stocks,N/A,32.90,32.90,"Global Brass and Copper Holdings, Inc."
BRAV.ST,Stocks,N/A,64.45,64.45,Bravida Holding AB (publ)
BPTY.VI,Stocks,N/A,0.00,0.00,BPTY.VI
BO.CO,Stocks,N/A,105.50,105.50,Bang & Olufsen a/s
BHP.AX,Stocks,N/A,22.62,22.62,BHP Billiton Limited
BBVA,Stocks,N/A,8.70,8.70,"Banco Bilbao Vizcaya Argentaria, S.A."
BABU.L,Stocks,N/A,0.00,0.00,BlueCrest AllBlue Fund Limited
BABS.L,Stocks,N/A,0.00,0.00,BlueCrest AllBlue Fund Limited
AZO,Stocks,N/A,705.31,705.31,"AutoZone, Inc."
AXU,Stocks,N/A,1.40,1.40,Alexco Resource Corp.
AXTA,Stocks,N/A,31.21,31.21,Axalta Coating Systems Ltd.
AWR,Stocks,N/A,44.80,44.80,American States Water Company
AWDR.OL,Stocks,N/A,30.90,30.90,Awilco Drilling Plc
AWC.AX,Stocks,N/A,1.69,1.69,Alumina Limited
AWAY,Stocks,N/A,35.77,35.77,"HomeAway, Inc."
AVY,Stocks,N/A,84.17,84.17,Avery Dennison Corporation
AVHI,Stocks,N/A,17.15,17.15,"AV Homes, Inc."
AVG,Stocks,N/A,25.05,25.05,AVG Technologies N.V.
AVG.L,Stocks,N/A,246.50,246.50,Avingtrans plc
AVEO,Stocks,N/A,0.58,0.58,"AVEO Pharmaceuticals, Inc."
AVAV,Stocks,N/A,28.96,28.96,"AeroVironment, Inc."
AVA,Stocks,N/A,41.28,41.28,Avista Corporation
AUO,Stocks,N/A,4.01,4.01,AU Optronics Corp.
AUM.L,Stocks,N/A,0.63,0.63,Tethyan Resources plc
AU,Stocks,N/A,11.19,11.19,AngloGold Ashanti Limited
ATRA,Stocks,N/A,14.95,14.95,"Atara Biotherapeutics, Inc."
ATR,Stocks,N/A,81.91,81.91,"AptarGroup, Inc."
ATL.MI,Stocks,N/A,24.34,24.34,Atlantia S.p.A.
ASX.AX,Stocks,N/A,51.46,51.46,ASX Limited
ASPS,Stocks,N/A,18.38,18.38,Altisource Portfolio Solutions S.A.
ASML,Stocks,N/A,135.84,135.84,ASML Holding N.V.
ASC,Stocks,N/A,7.30,7.30,Ardmore Shipping Corporation
ASA.L,Stocks,N/A,1.65,1.65,Asa Resource Group Plc
ARTH,Stocks,N/A,0.50,0.50,"Arch Therapeutics, Inc."
ARO.DE,Stocks,N/A,0.01,0.01,Arcandor AG
ARMK,Stocks,N/A,36.72,36.72,Aramark
ARLP,Stocks,N/A,22.85,22.85,"Alliance Resource Partners, L.P."
ARL,Stocks,N/A,7.63,7.63,"American Realty Investors, Inc."
ARL.L,Stocks,N/A,52.00,52.00,Atlantis Resources Limited
ARGS,Stocks,N/A,0.42,0.42,"Argos Therapeutics, Inc."
ARG.L,Stocks,N/A,3.75,3.75,Argos Resources Limited
AREVA.PA,Stocks,N/A,4.26,4.26,AREVA SA
AQP.L,Stocks,N/A,13.50,13.50,Aquarius Platinum Limited
AQA.TO,Stocks,N/A,0.27,0.27,Aquila Resources Inc.
APHB,Stocks,N/A,1.20,1.20,AmpliPhi Biosciences Corporation
AOWDF,Stocks,N/A,1.90,1.90,AO World Plc
ANPFF,Stocks,N/A,0.02,0.02,"Anpulo Food, Inc."
ANGI,Stocks,N/A,10.71,10.71,"Angie's List, Inc."
ANA.L,Stocks,N/A,321.71,321.71,ANA Holdings Inc.
AMX,Stocks,N/A,15.45,15.45,"América Móvil, S.A.B. de C.V."
AMS,Stocks,N/A,4.40,4.40,American Shared Hospital Services
AMR.L,Stocks,N/A,0.00,0.00,OneView Group plc
AMP,Stocks,N/A,128.82,128.82,"Ameriprise Financial, Inc."
AML.L,Stocks,N/A,0.00,0.00,Amlin plc
AMFW,Stocks,N/A,6.91,6.91,Amec Foster Wheeler plc
AMER.L,Stocks,N/A,24.50,24.50,Amerisur Resources PLC
AMD,Stocks,N/A,10.19,10.19,"Advanced Micro Devices, Inc."
AMBC,Stocks,N/A,18.38,18.38,"Ambac Financial Group, Inc."
ALU.PA,Stocks,N/A,0.00,0.00,Alcatel-Lucent
ALTR,Stocks,N/A,0.00,0.00,Altera Corp.
ALPHA.AT,Stocks,N/A,2.18,2.18,Alpha Bank A.E.
ALNOV.PA,Stocks,N/A,0.90,0.90,Novacyt Société Anonyme
ALL,Stocks,N/A,85.45,85.45,The Allstate Corporation
ALK,Stocks,N/A,85.24,85.24,"Alaska Air Group, Inc."
ALBA.L,Stocks,N/A,0.25,0.25,Alba Mineral Resources PLC
AKZOINDIA.BO,Stocks,N/A,1965.05,1965.05,AKZO NOBEL INDIA LIMITED
AKRX,Stocks,N/A,33.08,33.08,"Akorn, Inc."
AKER,Stocks,N/A,1.55,1.55,"Akers Biosciences, Inc."
AKAO,Stocks,N/A,24.10,24.10,"Achaogen, Inc."
AIZ,Stocks,N/A,103.92,103.92,"Assurant, Inc."
AIR,Stocks,N/A,35.44,35.44,AAR Corp.
AHT,Stocks,N/A,6.19,6.19,"Ashford Hospitality Trust, Inc."
AHCG.L,Stocks,N/A,38.50,38.50,Action Hotels PLC
AGU.TO,Stocks,N/A,124.96,124.96,Agrium Inc.
AGI.TO,Stocks,N/A,8.73,8.73,Alamos Gold Inc.
AFN.L,Stocks,N/A,22.50,22.50,ADVFN plc
AEX.L,Stocks,N/A,4.13,4.13,Aminex plc
AES,Stocks,N/A,11.32,11.32,The AES Corporation
AEP,Stocks,N/A,68.41,68.41,"American Electric Power Company, Inc."
AEP.L,Stocks,N/A,730.25,730.25,Anglo-Eastern Plantations Plc
AEN.L,Stocks,N/A,53.50,53.50,Andes Energia PLC
AEGN.AT,Stocks,N/A,7.98,7.98,Aegean Airlines S.A.
AEE,Stocks,N/A,54.78,54.78,Ameren Corporation
ADSS.L,Stocks,N/A,0.15,0.15,ATLAS AFRICAN INDUSTRIES LIMITE
AD2.BE,Stocks,N/A,0.78,0.78,AIR CHINA LTD. H YC 1
ACLS,Stocks,N/A,21.55,21.55,"Axcelis Technologies, Inc."
ACHP.L,Stocks,N/A,43.00,43.00,Asia Ceramics Holdings PLC
ACHL.L,Stocks,N/A,5.55,5.55,Asian Citrus Holdings Limited
ACD.L,Stocks,N/A,1.56,1.56,Acencia Debt Strategies Limited
ACCO,Stocks,N/A,13.10,13.10,ACCO Brands Corporation
ACAS,Stocks,N/A,17.99,17.99,"American Capital, Ltd."
ACA.SW,Stocks,N/A,14.98,14.98,Credit Agricole
ACA.L,Stocks,N/A,398.90,398.90,Acacia Mining plc
ABZA.L,Stocks,N/A,34.00,34.00,Abzena plc
ABHD,Stocks,N/A,0.02,0.02,"Abtech Holdings, Inc."
ABD.L,Stocks,N/A,212.50,212.50,Aberdeen New Dawn Ord
ABBV,Stocks,N/A,66.99,66.99,AbbVie Inc.
ABB,Stocks,N/A,24.91,24.91,ABB Ltd
AB,Stocks,N/A,20.90,20.90,AllianceBernstein Holding L.P.
AAWW,Stocks,N/A,52.25,52.25,"Atlas Air Worldwide Holdings, Inc."
AAN,Stocks,N/A,36.39,36.39,"Aaron's, Inc."
AA.L,Stocks,N/A,266.60,266.60,AA plc
5099.KL,Stocks,N/A,3.40,3.40,AirAsia Berhad
3595.TWO,Stocks,N/A,5.05,5.05,AMC
1AW.F,Stocks,N/A,61.63,61.63,"Argan, Inc."
0O1C.L,Stocks,N/A,17.61,17.61,ThyssenKrupp AG
0NC5.L,Stocks,N/A,0.00,0.00,Investor AB
ZNH,Stocks,N/A,33.72,33.72,China Southern Airlines Company Limited
ZNH.BE,Stocks,N/A,30.61,30.61,CHINA SOU.AIRL.YC1 ADR/50
ZLTQ,Stocks,N/A,56.48,56.48,"ZELTIQ Aesthetics, Inc."
ZGM.AX,Stocks,N/A,0.01,0.01,Zamia Metals Limited
ZG.SW,Stocks,N/A,5350.00,5350.00,Zuger Kantonalbank
YTR.F,Stocks,N/A,0.13,0.13,Aurelia Metals Limited
YT2A.MU,Stocks,N/A,11.53,11.53,"ATRESMED.C.D.M.D.C.EO-,75"
YPH.DU,Stocks,N/A,11.59,11.59,ASTELLAS PHARMA INC.
YOLO.L,Stocks,N/A,0.53,0.53,Yolo Leisure and Technology plc
YNB.AX,Stocks,N/A,0.06,0.06,Yonder and Beyond Group Limited
XIS.BE,Stocks,N/A,35.24,35.24,"AXIS CMNCTS SK-,01"
XINT.ST,Stocks,N/A,4.64,4.64,Xintela AB (publ)
XCA.DE,Stocks,N/A,14.66,14.66,Credit Agricole S.A.
XBLA.F,Stocks,N/A,1.23,1.23,Bangkok Life Assurance Public Company Limited
WWIB.OL,Stocks,N/A,235.50,235.50,Wilh. Wilhelmsen Holding ASA
WTR,Stocks,N/A,32.16,32.16,"Aqua America, Inc."
WRM.AX,Stocks,N/A,0.02,0.02,White Rock Minerals Ltd
WRLD,Stocks,N/A,56.07,56.07,World Acceptance Corporation
WPL.AX,Stocks,N/A,31.59,31.59,Woodside Petroleum Ltd
WOW.AX,Stocks,N/A,26.25,26.25,Woolworths Limited
WMK.AX,Stocks,N/A,1.02,1.02,Watermark Market Neutral Fund Limited
WMBY3.SA,Stocks,N/A,24.96,24.96,WEMBLEY SA
WJAFF,Stocks,N/A,15.86,15.86,WestJet Airlines Ltd.
WIN.DE,Stocks,N/A,71.53,71.53,Diebold Nixdorf Aktiengesellschaft
WHC.AX,Stocks,N/A,2.60,2.60,Whitehaven Coal Limited
RSTA.DE,Stocks,N/A,8.65,8.65,RIB Software AG
WEIFA.OL,Stocks,N/A,27.50,27.50,Weifa ASA
WCN.AX,Stocks,N/A,0.01,0.01,White Cliff Minerals Limited
WBC.MU,Stocks,N/A,22.45,22.45,WESTPAC BKG
WBA,Stocks,N/A,85.89,85.89,"Walgreens Boots Alliance, Inc."
WAL,Stocks,N/A,48.69,48.69,Western Alliance Bancorporation
WAFM.L,Stocks,N/A,3.13,3.13,West African Minerals Corporation
WAA.AX,Stocks,N/A,1.14,1.14,WAM Active Limited
VX8A.SG,Stocks,N/A,3.07,3.07,voxeljet AG Namens-Akt.(Spons.A
VX8A.MU,Stocks,N/A,3.00,3.00,VOXELJET AG ADR 1
VWS.DE,Stocks,N/A,83.89,83.89,Vestas Wind Systems A/S
